#{"t_start": 1585925231.215345, "env_id": "SoftReacher-v0"}
r,l,t
-106.059751,5,314.568573
-52.439151,3,314.743001
-75.185281,5,315.055255
-11.185117,4,315.36493
-47.014407,5,315.654695
-77.983673,11,316.422328
-9.471056,1,316.479951
-39.64604,3,316.655046
-286.005225,15,317.762028
-109.331349,10,318.390299
-61.378117,3,318.569594
-60.198137,3,318.740336
-18.470408,1,318.796875
-74.884332,5,319.108583
-20.200653,1,319.167554
-14.676322,1,319.223178
-65.181156,3,319.349216
-127.146137,9,320.00905
-131.164715,6,320.419715
-81.014895,4,320.659423
-11.149821,1,320.717845
-30.638401,6,321.116347
-85.499398,4,321.367516
-223.387723,14,322.386077
-120.808746,6,322.809645
-60.504389,7,323.229178
-121.236818,6,323.646454
-13.596983,1,323.730767
-63.630145,6,324.078716
-113.731587,8,324.659184
-148.091408,7,325.131313
-11.359828,2,325.245084
-32.129886,4,325.500841
-192.308585,9,326.146309
-40.960235,2,326.25859
-208.508118,15,327.268233
-147.585127,7,327.700882
-80.580134,4,327.939184
-67.151628,8,328.436128
-52.553512,4,328.671339
-28.666588,2,328.788178
-8.389601,1,328.846717
-49.109577,9,329.503987
-40.479913,2,329.598003
-6.225715,3,329.773597
-172.465036,11,330.564398
-20.413708,1,330.623653
-84.901267,11,331.363946
-44.946529,6,331.762962
-17.519549,3,331.891515
-52.300587,9,332.496385
-35.159568,2,332.612057
-84.963635,5,332.905039
-82.02719,4,333.176952
-19.887874,3,333.420728
-57.683109,3,333.594042
-77.692166,8,334.070595
-92.37156,5,334.386055
-98.742526,10,335.055754
-22.631255,2,335.152117
-100.231923,5,335.501701
-121.370073,8,336.053959
-94.604784,5,336.345962
-85.653187,4,336.62691
-51.101523,3,336.802224
-43.087585,6,337.203114
-91.032617,9,337.810893
-126.500981,11,338.65447
-49.575925,3,338.833436
-60.545647,3,339.059749
-96.307602,11,339.866372
-55.162172,3,340.049245
-65.412325,4,340.322489
-17.743436,1,340.381757
-12.40478,3,340.55067
-55.82872,3,340.706398
-158.101766,10,341.351214
-14.239032,2,341.528881
-41.325056,7,341.980413
-123.595419,6,342.366956
-216.163956,11,343.176088
-44.213644,2,343.344692
-125.155287,11,344.125064
-39.966652,2,344.266826
-92.856102,5,344.592418
-95.294608,9,345.153644
-117.380312,8,345.633512
-20.694359,1,345.694873
-127.138536,6,346.110333
-60.435219,3,346.28192
-68.733023,9,346.908382
-80.459962,7,347.355119
-20.2133,4,347.602441
-17.595134,1,347.658523
-5.168372,1,347.694881
-2.016359,1,347.730953
-82.27336,6,348.076236
-27.85491,2,348.191424
-101.8272,5,348.516339
-74.096629,11,349.225997
-109.343245,6,349.595976
-105.646479,11,350.353912
-130.227972,10,350.994751
-14.147952,1,351.051979
-108.645731,6,351.47089
-13.954513,1,351.506631
-85.675891,4,351.736033
-103.761597,9,352.370114
-21.134659,1,352.425344
-44.307552,5,352.729737
-115.08555,7,353.212742
-5.624469,1,353.248548
-58.74224,10,353.935414
-190.796709,9,354.616835
-38.126503,5,354.953922
-108.001808,9,355.639926
-57.705195,6,356.017462
-81.945681,4,356.291703
-15.851543,3,356.565626
-191.253137,13,357.60651
-63.963103,7,358.109493
-146.642443,8,358.72006
-60.458482,3,358.958381
-82.276462,9,359.547952
-192.654011,9,360.200108
-103.661961,12,361.114665
-165.627574,8,361.665065
-80.284696,9,362.246066
-5.25,2,362.319419
-86.279478,8,362.870964
-7.385115,16,363.799012
-202.912078,10,364.541678
-2.751759,2,364.655548
-82.236898,4,364.887486
-87.039456,10,365.597891
-174.619882,12,366.520466
-5.444953,1,366.576079
-149.174579,7,367.003987
-10.67081,1,367.058951
-99.87587,6,367.478698
-11.421372,1,367.561408
-114.368443,11,368.30752
-94.304554,10,368.99799
-11.427656,3,369.171299
-42.86907,7,369.578547
-14.897219,1,369.657344
-19.797331,2,369.773405
-60.944491,3,369.946466
-30.413654,7,370.424894
-85.729163,4,370.65566
-188.102501,13,371.608915
-37.719775,5,371.934898
-134.762827,11,372.731063
-102.137034,9,373.396926
-105.52097,10,374.04926
-52.820745,3,374.228389
-159.911588,8,374.795246
-13.100792,1,374.856866
-55.498356,8,375.348666
-19.280568,3,375.531064
-55.787281,9,376.094277
-25.522075,2,376.210244
-91.948331,10,376.906095
-112.367974,10,377.529745
-37.449616,4,377.713241
-33.701384,2,377.88551
-25.323095,3,378.100366
-139.030029,10,378.830025
-36.074685,6,379.223406
-88.044126,8,379.741062
-180.824022,9,380.345404
-124.424707,6,380.739812
-122.079697,12,381.50061
-172.049678,9,382.129767
-138.203873,7,382.670906
-20.883326,4,382.918588
-49.277726,3,383.079056
-132.779612,7,383.575039
-105.391757,8,384.157775
-81.963505,5,384.545833
-18.741842,1,384.614594
-123.186884,6,385.120503
-117.222893,8,385.74983
-18.719512,2,385.911469
-40.081601,3,386.093843
-48.33158,4,386.33857
-58.395797,5,386.64182
-68.626457,10,387.354869
-98.61049,6,387.737825
-36.397506,7,388.237092
-29.972294,7,388.764199
-139.899077,7,389.21519
-125.495182,10,389.882305
-16.332697,1,389.940587
-153.758097,12,390.667742
-109.738741,5,390.996071
-119.623491,11,391.767619
-30.303322,3,391.990752
-15.772132,4,392.252424
-15.347239,3,392.425573
-50.617982,3,392.592961
-45.502444,3,392.787567
-68.59875,8,393.29396
-12.193019,1,393.35355
-114.219958,6,393.821723
-156.233369,8,394.484289
-227.862783,13,395.75692
-173.054811,11,396.665301
-49.062388,8,397.224732
-43.926102,5,397.556236
-64.351622,3,397.848884
-4.038425,2,397.984365
-43.819884,2,398.140097
-157.878703,8,398.741538
-7.440781,3,398.949119
-67.113422,7,399.432702
-150.495783,9,400.057054
-53.904811,3,400.211725
-37.705315,2,400.349205
-45.611531,10,401.063098
-77.453399,4,401.298065
-19.021303,1,401.380281
-65.774815,3,401.597007
-132.464216,14,402.681902
-14.48643,1,402.739393
-86.317095,4,403.000002
-88.535641,4,403.237427
-154.801951,11,404.078406
-149.110596,7,404.543021
-13.472384,1,404.623185
-102.691755,7,405.036509
-183.890879,9,405.654502
-120.892031,8,406.230812
-93.178617,7,406.745963
-18.355039,1,406.811767
-38.916055,5,407.124431
-9.044048,1,407.183718
-123.185328,7,407.680953
-17.975949,1,407.762235
-72.536921,4,407.984697
-13.324323,3,408.13492
-107.894462,5,408.445886
-105.167191,11,409.20189
-132.198594,8,409.683778
-164.841307,10,410.357397
-18.269656,1,410.414675
-148.091791,7,410.861696
-61.238209,3,411.01388
-106.930178,8,411.550352
-123.029122,7,412.061425
-146.458588,9,412.651275
-51.385709,3,412.824243
-42.042434,2,412.982035
-8.716785,1,413.040281
-103.8373,6,413.462198
-58.72269,6,413.857666
